Fecha,Aguascalientes,Baja California,Baja California Sur,CDMX,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,semana
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s08
2020-02-22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s08
2020-02-23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s08
2020-02-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s09
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s09
2020-02-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s09
2020-02-28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-s09
2020-02-29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-s09
2020-03-01,0,0,0,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2020-s09
2020-03-02,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-s10
2020-03-03,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2020-s10
2020-03-04,0,0,0,5,0,0,0,1,0,0,3,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020-s10
2020-03-05,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2020-s10
2020-03-06,0,0,0,7,0,0,0,0,0,1,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020-s10
2020-03-07,1,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2020-s10
2020-03-08,0,0,0,8,1,0,0,0,0,0,2,1,1,3,0,0,3,0,2,0,2,1,1,0,0,0,0,0,0,0,3,1,2020-s10
2020-03-09,0,1,0,22,1,0,0,0,0,1,2,1,0,3,1,1,11,0,9,1,5,1,1,1,1,0,3,0,0,0,1,2,2020-s11
2020-03-10,1,0,0,24,0,0,0,1,0,0,1,0,0,4,0,1,4,1,3,1,3,4,2,0,0,1,2,0,1,0,3,3,2020-s11
2020-03-11,0,2,0,22,0,0,0,0,0,1,2,1,1,6,0,0,7,1,6,0,3,2,3,1,0,2,0,0,0,0,3,1,2020-s11
2020-03-12,1,2,0,36,1,0,2,1,1,0,2,1,0,8,0,0,17,0,3,3,4,0,1,1,1,2,0,0,1,4,1,1,2020-s11
2020-03-13,0,4,1,42,0,1,1,1,0,0,9,1,1,9,0,0,17,0,7,0,5,1,3,0,0,1,2,1,0,0,5,0,2020-s11
2020-03-14,1,3,0,38,0,1,0,0,0,0,6,0,2,8,0,1,14,0,8,0,4,1,4,2,2,0,2,2,0,4,3,0,2020-s11
2020-03-15,1,4,0,41,0,0,1,1,1,1,7,3,1,2,8,0,15,1,9,0,4,1,6,4,2,1,1,0,0,3,1,0,2020-s11
2020-03-16,2,5,3,49,0,0,1,3,0,0,12,1,0,6,1,1,18,0,4,1,14,2,2,2,4,2,3,3,2,2,2,2,2020-s12
2020-03-17,2,5,1,43,0,0,1,3,0,0,5,3,1,13,2,1,26,1,8,0,6,4,3,1,2,5,2,0,0,2,7,1,2020-s12
2020-03-18,4,11,1,40,0,0,3,4,0,2,4,2,2,8,4,1,20,0,6,0,7,2,7,4,2,1,6,0,0,4,5,4,2020-s12
2020-03-19,2,10,0,44,0,0,2,3,0,1,1,2,2,0,0,1,22,1,5,2,3,0,5,2,4,2,8,0,0,3,10,3,2020-s12
2020-03-20,3,15,1,73,1,2,5,5,0,0,8,4,4,9,1,2,34,0,5,3,10,3,7,1,10,2,5,3,0,7,4,0,2020-s12
2020-03-21,0,6,4,32,0,2,3,6,0,0,5,3,1,10,0,2,32,1,3,1,11,2,9,2,6,0,5,2,0,3,5,2,2020-s12
2020-03-22,5,6,5,43,0,3,2,3,0,0,7,1,0,6,4,2,37,0,4,1,11,2,6,3,8,5,4,2,1,2,5,2,2020-s12
2020-03-23,9,18,5,68,2,4,2,10,0,3,4,3,6,7,5,4,39,0,3,4,16,4,11,0,16,3,7,1,1,5,3,0,2020-s13
2020-03-24,5,21,2,53,0,1,4,7,1,1,4,1,3,4,2,1,38,2,2,1,8,0,7,6,14,3,7,1,2,5,3,0,2020-s13
2020-03-25,5,21,5,63,2,4,5,10,1,2,3,1,2,5,4,4,46,0,2,1,5,4,13,4,10,2,11,6,2,5,3,0,2020-s13
2020-03-26,4,26,6,98,0,0,7,16,0,0,7,3,3,2,2,2,63,0,3,3,8,3,7,1,13,4,6,4,0,4,3,0,2020-s13
2020-03-27,6,29,9,67,1,3,2,21,0,0,6,0,4,8,3,3,62,2,2,3,18,3,23,5,14,5,7,3,1,5,4,2,2020-s13
2020-03-28,2,28,10,73,2,4,9,15,2,1,4,1,2,2,1,3,43,1,2,5,29,0,17,2,11,5,16,2,9,3,7,0,2020-s13
2020-03-29,3,39,4,61,0,1,8,17,1,1,0,2,5,4,1,1,46,0,2,2,35,1,19,2,15,0,13,1,3,6,10,0,2020-s13
2020-03-30,4,45,15,109,2,2,7,25,0,2,1,4,7,8,3,5,75,0,5,4,23,0,20,1,16,1,13,11,5,8,6,0,2020-s14
2020-03-31,0,34,13,84,1,2,10,12,0,0,2,5,5,5,1,3,56,3,6,1,13,2,14,4,25,4,11,7,3,6,4,2,2020-s14
2020-04-01,1,58,18,154,1,2,13,20,0,0,10,4,0,3,11,10,102,2,5,2,21,5,20,4,21,13,12,9,5,8,9,0,2020-s14
2020-04-02,3,70,16,122,1,2,17,12,0,1,7,5,1,9,3,4,67,3,11,1,28,2,20,3,22,3,18,5,5,12,9,2,2020-s14
2020-04-03,1,59,20,120,5,4,18,15,0,1,6,8,4,8,3,5,80,2,8,5,20,5,20,4,33,5,13,4,4,6,11,2,2020-s14
2020-04-04,0,58,20,131,2,4,11,16,0,1,3,10,1,4,3,9,83,3,2,2,16,3,15,3,27,11,24,9,9,6,7,0,2020-s14
2020-04-05,2,47,20,142,2,2,14,7,0,0,6,6,6,3,6,7,81,4,7,4,14,2,28,0,25,12,19,6,1,11,5,0,2020-s14
2020-04-06,4,64,13,172,2,3,19,16,1,1,4,8,7,6,5,3,133,1,11,5,23,3,29,1,31,25,31,5,2,15,13,1,2020-s15
2020-04-07,4,56,6,168,1,5,20,15,1,0,1,5,2,10,15,4,92,1,13,0,7,3,18,0,31,14,32,10,7,12,13,1,2020-s15
2020-04-08,2,90,8,180,4,4,20,11,0,2,6,13,5,8,8,8,140,4,11,2,15,2,21,2,40,13,32,7,11,22,13,6,2020-s15
2020-04-09,3,95,7,193,3,2,28,11,0,0,6,6,5,6,7,2,133,2,14,6,15,4,27,2,41,14,40,8,3,17,4,1,2020-s15
2020-04-10,5,127,12,324,4,2,30,18,0,4,5,12,8,8,15,17,206,4,25,8,22,5,34,3,47,17,50,16,13,21,10,5,2020-s15
2020-04-11,6,85,13,218,6,6,29,11,3,4,9,9,9,5,7,9,149,1,14,2,23,8,32,1,47,9,26,17,2,24,20,4,2020-s15
2020-04-12,7,101,10,247,2,4,34,11,3,1,7,8,8,7,11,10,166,1,9,4,22,6,29,2,47,7,42,14,2,26,22,2,2020-s15
2020-04-13,8,82,8,316,5,8,28,18,0,4,11,15,13,12,20,20,222,3,11,2,36,3,31,4,45,8,47,30,7,34,19,2,2020-s16
2020-04-14,13,101,7,292,3,7,31,12,0,6,21,4,8,13,9,8,199,4,9,12,19,5,32,7,39,18,66,26,12,22,11,4,2020-s16
2020-04-15,11,94,6,396,5,9,43,19,2,0,17,14,8,7,15,17,263,2,8,10,24,6,33,1,39,5,49,20,11,38,18,1,2020-s16
2020-04-16,10,78,5,353,4,13,49,13,0,1,15,7,16,16,17,15,252,2,9,5,25,5,41,2,45,16,54,26,9,36,19,7,2020-s16
2020-04-17,11,113,8,410,4,7,68,12,6,0,6,9,10,14,23,21,299,8,7,7,34,5,36,2,53,16,56,35,7,34,19,2,2020-s16
2020-04-18,17,93,11,430,4,10,64,14,1,2,16,13,20,9,16,40,292,4,8,6,43,8,47,2,49,19,63,24,9,45,26,5,2020-s16
2020-04-19,8,105,6,388,6,7,46,5,0,2,13,17,18,12,14,25,273,2,9,8,31,4,24,4,58,14,76,12,11,26,29,6,2020-s16
2020-04-20,19,137,14,695,10,20,86,17,1,5,15,26,35,21,39,40,399,4,13,10,47,6,55,10,88,23,76,35,21,75,32,5,2020-s17
2020-04-21,6,92,1,417,9,6,47,17,1,4,14,17,25,20,16,22,302,2,8,10,40,3,32,8,47,14,61,29,20,47,33,2,2020-s17
2020-04-22,11,113,12,437,11,14,74,10,0,6,13,18,20,17,21,40,294,5,16,9,28,10,29,2,50,19,56,25,9,44,19,4,2020-s17
2020-04-23,18,86,5,448,6,16,62,16,2,5,11,25,25,23,24,30,301,7,13,14,37,4,26,3,56,22,57,32,10,50,36,3,2020-s17
2020-04-24,12,87,10,528,11,11,79,15,2,7,20,38,27,22,28,59,342,12,13,12,55,2,23,6,64,29,72,27,17,76,42,3,2020-s17
2020-04-25,10,112,9,532,15,20,76,15,1,4,14,36,22,18,23,43,372,9,22,10,48,8,47,16,71,28,59,48,11,78,38,2,2020-s17
