Fecha,Aguascalientes,Baja California,Baja California Sur,CDMX,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,semana
2020-03-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-S12
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-S12
2020-03-22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-S12
2020-03-23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-S13
2020-03-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2020-S13
2020-03-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020-S13
2020-03-26,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2020-S13
2020-03-27,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2020-S13
2020-03-28,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,4,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,2020-S13
2020-03-29,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2020-S13
2020-03-30,0,2,0,4,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2020-S14
2020-03-31,0,2,1,7,0,0,1,2,0,1,0,0,0,1,0,1,3,0,0,0,1,0,2,0,1,0,2,0,0,0,0,1,2020-S14
2020-04-01,0,2,0,6,0,0,0,3,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,2020-S14
2020-04-02,0,5,0,5,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,2020-S14
2020-04-03,0,2,0,7,0,0,4,2,0,0,0,0,1,0,2,0,3,0,2,0,2,0,2,0,2,0,1,1,0,1,2,0,2020-S14
2020-04-04,0,9,1,7,0,0,2,1,0,0,0,2,0,0,1,0,5,0,0,0,3,0,1,0,5,0,1,1,0,0,0,1,2020-S14
2020-04-05,0,1,2,6,0,0,2,2,0,0,2,0,0,1,0,0,7,0,1,0,3,0,1,0,0,2,3,0,0,0,0,0,2020-S14
2020-04-06,0,12,0,16,1,1,2,1,0,0,0,2,0,0,1,1,5,0,0,0,4,0,4,1,1,1,3,1,0,0,1,0,2020-S15
2020-04-07,0,5,0,11,0,0,9,4,0,0,1,0,0,1,0,1,10,0,2,0,10,0,2,0,3,1,0,0,0,0,2,0,2020-S15
2020-04-08,0,7,1,6,0,0,6,0,0,0,0,0,2,1,1,1,8,3,0,0,1,0,3,0,6,1,1,0,1,0,0,0,2020-S15
2020-04-09,0,7,0,17,0,1,5,1,0,0,1,1,0,0,1,0,7,1,0,1,2,0,6,0,8,1,1,0,0,1,0,0,2020-S15
2020-04-10,1,11,0,27,1,0,3,1,0,0,1,0,0,1,1,1,8,0,0,0,5,0,2,0,11,0,1,0,0,0,3,0,2020-S15
2020-04-11,0,14,1,24,0,1,2,1,0,0,0,0,0,1,1,0,16,0,0,1,5,1,2,0,9,1,1,0,0,0,0,0,2020-S15
2020-04-12,0,20,1,13,0,0,7,0,0,0,0,1,0,0,0,0,19,1,0,0,2,0,6,0,7,3,2,0,3,3,0,0,2020-S15
2020-04-13,1,14,2,18,0,1,6,1,1,0,0,1,0,0,4,3,23,0,1,0,4,0,6,0,8,1,5,0,0,1,1,0,2020-S16
2020-04-14,0,20,0,27,1,0,7,5,0,0,2,1,2,0,2,1,20,0,0,1,6,1,3,0,5,1,5,1,2,1,0,0,2020-S16
2020-04-15,0,22,0,27,0,0,11,1,0,0,1,3,3,0,1,3,21,0,0,0,4,1,1,0,6,3,3,1,0,0,3,0,2020-S16
2020-04-16,0,18,1,28,0,0,6,4,1,0,0,1,0,1,2,1,23,0,1,1,5,0,4,0,5,0,3,0,0,1,1,0,2020-S16
2020-04-17,1,30,1,24,1,0,14,1,0,0,3,1,0,1,1,3,28,1,0,1,5,0,4,1,6,1,10,1,1,1,1,0,2020-S16
2020-04-18,0,20,1,30,0,0,12,0,0,0,0,3,2,0,1,0,34,0,0,0,7,0,7,1,6,1,9,0,0,3,0,0,2020-S16
2020-04-19,1,32,0,42,2,1,10,2,0,0,0,4,2,2,2,5,33,0,1,1,8,0,8,0,4,2,8,0,2,7,1,1,2020-S16
2020-04-20,0,27,1,44,0,0,20,4,0,0,0,3,1,1,4,6,45,2,1,1,8,0,10,0,11,4,8,4,0,4,2,0,2020-S17
2020-04-21,0,25,1,54,1,0,26,2,0,1,2,7,2,1,0,6,50,0,0,1,4,1,8,0,7,3,5,0,2,3,3,0,2020-S17
2020-04-22,1,35,2,43,2,2,15,3,0,0,3,3,2,3,1,8,46,0,2,1,7,0,6,0,8,3,9,0,2,8,1,0,2020-S17
2020-04-23,0,32,0,62,2,1,12,2,0,0,3,3,2,1,3,6,49,0,1,4,5,0,8,1,7,1,13,3,1,3,4,1,2020-S17
2020-04-24,0,33,1,67,2,0,27,2,0,1,1,1,1,3,2,4,67,0,1,1,8,0,16,0,6,1,9,1,1,5,2,0,2020-S17
2020-04-25,0,34,1,83,2,0,17,2,0,1,3,4,7,2,4,7,64,0,1,0,6,1,10,0,12,1,11,3,2,10,2,0,2020-S17
2020-04-26,0,28,2,86,1,0,19,3,1,1,2,1,8,0,3,9,82,1,1,2,9,1,12,1,10,0,10,1,2,11,2,1,2020-S17
2020-04-27,1,43,0,75,1,1,17,0,0,0,0,8,2,1,1,7,66,1,2,3,6,1,14,0,10,5,6,2,4,6,1,1,2020-S18
